Description,Product Group
"Weidmuller W Series Jumper Bar for Use with DIN Rail Terminal Blocks, 41A (BA)",Electrical Components
fischer FRSL-L 20-24 M8/M10 PIPE CLAMP,Pipes Shrinks Clamps
Samontec FUS 21/41/2.5 mm Mounting Rail 3 Meters,Cables
Samontec FCN 10 skivemøtrik M10,Consumables
Control cable Y-JZ 25G0.75,Cables
"Weidmuller WQV Series Jumper Bar for Use with DIN Rail Terminal Blocks, 32A (BA)",Electrical Components
Allen Key Screw M10x20 EZ,Consumables
GL-38-M25-Metal,Consumables
Enclosure heater CSF 060 ❌,Electrical Components
"Special socket wrench insert, VARIFIX 1/2 inch",Tools
END CAP BLACK - 41/21 - FISCHER ✓,Consumables
Cable lugs KRF,Consumables
US-EMLP (49X15) - Plastic label,Consumables
"WML HF 7,5(25X13)R - Wire-wrap label",Consumables
"CEE Plug 63A 5P 400V red, IP67",Electrical Components
"CEE Adapter 63A 5P 400V Red, IP67",Electrical Components
"CEE Stikprop 125A 5P 400V rød, IP67",Electrical Components
"CEE Wall socket 32A 5P 400V red, IP44",Electrical Components
Nut M20 Polyamide,Electrical Components
Nut M32 Polyamide,Electrical Components
Gland M20 Polyamide IP68,Electrical Components
"CEE Wall socket 16A 5P 400V red, IP44",Electrical Components
Pris Etter Avtale,
"PFXP-EX 500V 3G2,5MM2 TK50",Cables
Lenovo ThinkPad Hybrid Docking,Office Material
Cables - H07 VK 10 mm² Black 100m ✓,Cables
RK 16 MM² G/G 100M,Cables
Cables - FUTP K6A LZH 4P DCA 500M,Cables
OSB Plate 12 mm,Electrical Components
Cables - PR 2x4/4 Anti Twin® ,Cables
Cables - RK 16 black Anti Twin®,Cables
Fuga Frame 50 1x2M horizontal white,Electrical Components
Fuga Frame 63 Softline 1M white,Electrical Components
Fuga Ramme 63 Softline 1x2M vandret hvid,Electrical Components
"FUGA Underlay 2 module, horizontal, white",Electrical Components
Fuga Socket M/J 2M white,Electrical Components
Opus74 Socket M/J Double Horizontal IP44 Light Grey,Electrical Components
Opus74 Underlay 1.5M horizontal light grey,Electrical Components
Fuga technical mounting frame for Soft/Choice/Pure frame 1M,Electrical Components
Fuga technical mounting frame 1x2M,Electrical Components
"Earth plate meter 2-3-4-pole ELIT MRU-120, IP54 and 200mA",Electrical Components
"Earth plate meter with impulse ELIT MRU-200GPS, IP54",Electrical Components
TFXP MR POWERFLEX 5G70 SORT,Cables
"TEXILINE HF90 TW 0,75MM2 BLACK ✓",Cables
"IFXI 500V 3G2,5 (WHITE CABLE)",Cables
Plug M/J EDB angle white,Electrical Components
Test lead set silicone red and black ELITE 2353-150RS,Cables
Measuring cable 100m on drum red ELITE E100TKR,Electrical Components
Measuring cable 100m on drum black ELIT E100TKS Measuring drum,Electrical Components
Storage cabinet CLICK,Electrical Components
3XTVR2-CT SELF-REG. HEAT CABLE,Cables
20XTVR2-CT SELF-REG. HEAT CABLE,Cables
3HTV2-CT SELF-REG. HEAT CABLE,Cables
IEK-25-PIPE INSULATION THREAD.,Electrical Components
FIXING STRAP PSE-090 40-90MM Ø,Consumables
FIXING STRAP PSE-280-60-280MMØ,Electrical Components
FASTENING STRAP PSE-540 60-540MMØ,Consumables
COUPLING SET C25-100-METAL,Consumables
CONNECTION C25-100,Electrical Components
EMD termination IEK 25-04 GJENNOMF ISO,Electrical Components
FIBERGLASS TAPE GS-54,Consumables
Fuga Screw Torx 10 with tip for technical frames,Consumables
P5/P12 BFOU(C) M 250V GY 2C x 1.5mm²,Cables
"P5/P12 BFOU(C) M 250V GY, 2 x 2.5/4mm²",Cables
"P5/P12 BFOU(C) M 250V GY, 2 x 4/6mm²",Cables
"P5/P12 BFOU(C) M 250V GY, 2 x 6/6mm²",Cables
"P5/P12 BFOU(C) M 250V GY, 3 x 70/35mm²",Cables
S3/S7 BFOU(I) M 250V GY 1PR x 0.75mm²,Cables
S4/S8 BFOU(C) M 250V GY 2PR x 0.75mm²,Cables
S4/S8 BFOU(C) M 250V GY 4PR x 0.75mm²,Cables
S4/S8 BFOU(C) M 250V GY 8PR x 0.75mm²,Cables
S4/S8 BFOU(C) M 250V GY 12PR x 0.75mm²,Cables
S4/S8 BFOU(C) M 250V GY 24PR x0.75mm²,Cables
S3/S7 BFOU(I) M 250V GY 1P x 1.5mm2,Cables
S4/S8 BFOU(C) M 250V GY 4PR x 1.5mm²,Cables
S3/S7 BFOU(I) M 250V GY  1TR x 0.75mm2,Cables
S3/S7 BFOU(I) M 250V GY 1PR x 2.5mm²,Cables
S3/S7 BFOU(I) M 250V GY  1TR x 1.5mm2,Cables
Cables - IX 750V 6 GUL/GRØNN ✓,Cables
1C x 6mm²,Cables
1C x 16mm²,Cables
1C x 35mm²,Cables
1C x 70mm²,Cables
"PROFIBUS M-02Y(ST)CHX 1x2x0,35 150 ohm",Cables
Cables - D4x0.5 PFSK 440V B2 130m,Cables
Cables - PN installation cable Draka 750 V ✓,Cables
"Cable - AceFLEX RV-K 1kV 5G2,5 hvit GC ✓",Cables
Roller Rails 1000kg Katimex,Tools
Cables - ÖLFLEX® CLASSIC 130 H 4X0.75,Cables
"ØLFLEX CLASSIC 135 CH 2X0,75",
"ØLFLEX CLASSIC 135 CH 4G0,75",
"PFSP 4x240/70 1kV AL Ø58,0",Cables
H07RN-F 3G1.5mm2 TK50,Cables
Cables - G4-9/125 AXAI-I/OW(ES9) YL,Cables
WORK PLATFORM STILLB WAP HA ✓,Tools
Cable RM S/FTP 4P 650 MHz Dca T500,Cables
Cables - ÖLFLEX® CLASSIC 115 CY 18G0.75,Cables
Cables - FASC MULTI HFFR 2X16 AWG,Cables
"Cables - UC900 S/FTP 4X2/0,55 LSHF C7",Cables
SPBE40 FE-TI-90-300 SS,Electrical Components
BASIC T-SHIRT RED 2XL (2XL),PPE
Flens Multiflens 2-2 ✓,Electrical Components
END CAP HEAT SHRINK 40-15MM,Pipes Shrinks Clamps
Banana Plug Insulated With Screen 4mm Brass Nickel 1kVAC 1kVDC 24A Screw Clamp Green,Electrical Components
"Bahco combination wrench 1-1/2""",Tools
"Bahco kombinasjonsnøkkel 1-1/8""",Tools
"Bahco combination wrench 11/16""",Tools
"Bahco combination wrench 7/8""",Tools
"Bahco combination wrench 9/16""",Tools
Multi-clamp Ø 8-10 mm / Ø 16 mm,Pipes Shrinks Clamps
Cables - ÖLFLEX® CLASSIC 110 BLACK 12 G 1.5,Cables
GRAN 48X098 K-VIRKE C24,Consumables
I4017-8.8-EL M8x35 6kt Bolt,Consumables
M10x50 bolts (arvid),Consumables
Complete Business Mouse Pad Medium,Office Material
RDP-90 XPG,Consumables
Ice bag Snøgg Cold Pack large 15X23cm,Consumables
Assembly Set MS 5P M12 S ✓,Consumables
"CGSS1C6C2R1X M20, 6LW, CC",Electrical Components
AV10S5M25T2C DISPLAY,Electrical Components
FL SWITCH 1008NT,Electrical Components
Targus Laptop Cooler,Office Material
CALIBRATION KIT H2 GAS DET,Electrical Components
"STB SENSOR TERM. BOX, SS, M20",Electrical Components
POWER CAB. STX 24V/5A KIT,Consumables
"0100 POLYCARBONATE COVER, BF-300V2",Electrical Components
Wired keyboard - Nordic character set,Electrical Components
MOUSE FOR  AUTROMASTER PC,Electrical Components
MOUSE FOR AUTROMASTER PC,Electrical Components
ASENSE 100 INCL PWR & BATT,Electrical Components
AutroSense 200,Electrical Components
HIGH-SENSITIVITY OPTICAL DETECTOR AUTROSENSE 200,Electrical Components
AutroSense Micra relay card w/inputs,Electrical Components
STRAIGHT PIPE L=3M   RED,Electrical Components
NORMAL BEND 90 DEGR. RED,Electrical Components
JOINING SOCKET RED,Electrical Components
SAMPL.HOLE WARNING LABEL,Electrical Components
"Sampling hole warning labels, 100 pcs",Electrical Components
Solvent cement 250ML W/BRUSH,Electrical Components
SOLVENT CEMENT 250ML W/BRUSH,Consumables
END CAP RED,Electrical Components
"PIPE CLIP RED, PACK OF 100 PCS ✓",Electrical Components
Shrink wrap CFSM 55/12-1500/S - Melbye,Pipes Shrinks Clamps
Shrink wrap CFSM 84/15-1000/S - Ensto,Pipes Shrinks Clamps
Beam Section Holder TPH F 80,
Magnetic door release GTR048000A07,Electrical Components
MAGN. DOOR REL. GTR048000A07,Electrical Components
DOOR RETAINER ROBUST 50KG 490N,Consumables
NØKKELSAF,Electrical Components
RELAY  PLC-RSC- 24DC/21,Electrical Components
CHANGE OF AUTROMASTER CONFIG.,Electrical Components
AM V BASIC 512 LOOP UNITS LIC,Electrical Components
512 loop units,Electrical Components
AUTROMASTER DESKTOP PC,Electrical Components
PC FOR AUTROMASTER V,Electrical Components
SOUNDER/STROBE INDOOR ADDR,Electrical Components
SOUNDER/STROBE OUTDOOR ADDR.,Electrical Components
SOUNDER/STROBE OUTDOOR ADDR,Electrical Components
MAN. CALL POINT NORMAL CURRENT ✓,Electrical Components
MANUAL CALL POINT,Electrical Components
GLASS FOR MAN.CALLPOINT 10 PCS,Electrical Components
Monitoring input unit BN-201 ✓,Electrical Components
SINGLE MON. INPUT/OUTPUT UNIT,Electrical Components
SINGLE MON. INPUT/OUTPUT UNIT,Electrical Components
Dual Monitored Input/Output Unit BN-305 ❌,Electrical Components
AUTROSAFE 512 ADR N150 N,Electrical Components
Input module BSE-320,Electrical Components
Output module BSJ-310,Electrical Components
AUTROTEL AIRBORNE DC8 M STC,Electrical Components
AUTROTEL AIRBORNE DC8 M PWR,Electrical Components
ANTENNA ADAPATER STP-00636,Electrical Components
ANTENNA OUTDOOR STP-00634,Electrical Components
Relay kit for FARE/FWRE BSX-310 ❌,Electrical Components
HOLE CALCULATION ASPIRATION DET.,Electrical Components
COMMISSIONING FIRE,Electrical Components
IDRIFTSETTELSE BRANN,Electrical Components
O PLAN KASETT A3 LIGG M/LOGO ,Consumables
LAMINERT O-PLAN A3 FORMAT,Electrical Components
CONVERSJON OF PICTURES,Electrical Components
ADDING DETECTORS TO DWG,Electrical Components
100 STANDARD BASE,Electrical Components
V-430 AUTROGUARD,Electrical Components
V-430-S AUTROGUARD,Consumables
V-430-VADW AUTROGUARD,Electrical Components
116-V-430-VADW AUTROGUARD,Electrical Components
RGSFB 6x2 ss 316L Atex,Lighting
Corner Bracket EW 41-1 HCP,Consumables
ASPIRASJONSBEREGNING PER DET,Consumables
"Junction box Orange E90 100 x 100 mm, PP, 4 x KR6.4",Electrical Components
Onninen fire box KSK 100_PO,Electrical Components
RM 60/0,Electrical Components
Hawke Nylon Sealing Washer B-M25,Electrical Components
Hawke Earth Tag O/A-M20 Nick. Pl,Electrical Components
Hawke Earth Tag B-M25 Nick. Pl (3/4 NPT),Electrical Components
POLE SWITCH ORANGE ZQV 4N/4 OR 4,Electrical Components
POLE SWITCH ORANGE ZQV 4N/10 OR 10,Electrical Components
OE100 FE15-450-R300-900 SS,Electrical Components
SECURITY WHEEL A4 M6x25mm,Consumables
T-SHIRT ESSENTIAL KL 3 YELLOW 4XL ✓,PPE
T-SHIRT ESSENTIAL KL 3 YELLOW 4XL ✓,PPE
Long Sleeve LE ESSENT SIZE 2/3 2XL ✓,PPE
Long Sleeve LE ESSENT SIZE 2/3 3XL ✓,PPE
Long Sleeve LE ESSENT SIZE 2/3 4XL ✓,PPE
Long Sleeve LE ESSENT SIZE 2/3 L ✓,PPE
Long Sleeve LE ESSENT SIZE 2/3 M ✓,PPE
Long Sleeve LE ESSENT SIZE 2/3 S ✓,PPE
Long Sleeve LE ESSENT SIZE 2/3 XL ✓,PPE
Long Sleeve LE ESSENT SIZE 2/3 XS ✓,PPE
Extension sleeve 50mm plastic - IMT36043 SCHNEIDER ✓ ,Pipes Shrinks Clamps
Plastic 90º bend for pipe 20mm 750N,Electrical Components
Plastic 90º bend for pipe 25mm 750N,Electrical Components
VERNESKOLETT GESTO BRAGE 36,Workwear
WINTER BOOTS WITH MEMBRANE AND BOA LACING ODEN S3,PPE
VERNESKOLETT GARM S3 44,PPE
PROTECTIVE BODY GARM S3 45,PPE
VERNESKOLETT GARM S3 46,PPE
VERNESKOLETT GARM 2.0 S7S 46,PPE
PROTECTIVE BODY GARM 2.0 S7S 47,PPE
SUMMER BOOTS GARM 2.0 S7S SIZE 48,PPE
WINTER BOOTS LODUR 2.0 S7S 41,PPE
WINTER BOOTS LODUR 2.0 S7S 42,PPE
WINTER BOOTS LODUR 2.0 S7S 44,PPE
Winter Boot LODUR 2.0 S7S Size 45,PPE
Logitech MX Keys Combo for Business Gen 2 (graphite),Office Material
Switched-mode power supply ❌,Electrical Components
Onninen fire box KSK 100_PO,Electrical Components
K-tube 20 mm xSpeed ​​/ R100 ✓,Pipes Shrinks Clamps
GUARDIO ARMET HVIT (Industrihjälm med MIPS),PPE
2288624-01TNCN20201202 TNCN20201202A Exe SS316 IP66 W=200mm x H=200mm x 120mm,Consumables
2288624-02TNCN151510 TNCN151510 Exe SS316 IP66 W=150mm x H=100mm x 100mm,Consumables
JUNCTION BOX AP9 GREY IP65 ✓,Consumables
BPZ-KB-10/175-ALU KOBL.KL ✓,Electrical Components
WINTER BOOTS FENJA S3S 42,PPE
WINTER BOOT FENJA S3S 48,PPE
SKINTOP® ST-M 63 34-45mm Plastic,Consumables
Nippel EX/EMC M50 25-30 ✓,Consumables
CRAFT TROUSERS G500 YELLOW/BLACK 58,PPE
Water Proof POWER PROTECT,Consumables
SERVICE BOX PURE BLACK/YELLOW 46 ✓,PPE
"METAL NUT SM-M 25X1,5 MESS",Cables
"METAL NUTSM-PE-M 20X1,5 MESS.EMC",Cables
"METAL NUT SM-PE-M 50X1,5MESS.EMC ",Cables
LOCK NUT M63 BRASS EMC,Electrical Components
Feedthrough M16 Light Grey ✓,Consumables
FLAT GASKET M32 NEOPRENE,Consumables
FLAT GASKET M50 NEOPRENE,Consumables
G531 Supervisor PANTS FS KL.1-C46/146,PPE
G531 Supervisor PANTS FS KL.1-C48/148,PPE
G531 Supervisor PANTS FS KL.1-C50/150,PPE
G531 Supervisor PANTS FS KL.1-C52/152,PPE
G531 Supervisor PANTS FS KL.1-C54/154,PPE
G531 ELEVATE WORK TROUSERS FS CLASS 1-C56/156,PPE
G531 Elevate Craftsman/Tradesman Trousers Class 1-C58/158,PPE
G532 ELEVATE CRAFTSMAN PANTS FS KL.2-C44,PPE
G532 ELEVATE CRAFTSMAN PANTS FS KL.2-C46,PPE
G532 ELEVATE CRAFTSMAN PANTS FS KL.2-C52/152,PPE
G532 ELEVATE CRAFTSMAN PANTS FS KL.2-C54/154,PPE
Hawke 501/421 B-M25 Nick. Pl Exde (13.0-20.2),Electrical Components
Extension M40/M50 Brass ✓,Consumables
Dist.Block 280A(Cu). 250A(Al) ❌,Electrical Components
Toggle Stud KD - TD10 x 100 El Zync,Consumables
NAMEPLATE FOR END STOPS ✓,Consumables
"A2C 2.5 Terminal, PUSH IN, 2.5 mm²",Electrical Components
CONNECTION CLASS 1.5-16 YELLOW/GREEN ✓,Electrical Components
US-EMLP (49X15) - Plastic label,Consumables
WQV 2.5/3 CROSS CONNECTION,Electrical Components
WQV 2.5/10 CROSS CONNECTION,Electrical Components
HELMET BELL 3M X2 P5E DI-EL,PPE
"DEK 5 FW 1,3,5,...99",
DEK 5 FW 351-400 ,Consumables
"ZEW 35/2 - End bracket, Wemid, dark beige",Electrical Components
T1-E 100x40 G Slotted Cable Trunking,Cables
ENDESTYKKE 123 HVIT INKA-ES - SCHNEIDER  ✓,Electrical Components
"Junction Box T250, 240x190x95 mm, White (OBO)",Electrical Components
THERMOMARK E.300 ,Office Material
"SPB-RF40 EP-CT-100 PVC 61.00 96,870.00",Cables
CYB D-UTTAK 230V SETT M/M.FELT ✓,Electrical Components
HIGH VISITOR VEST YELLOW KL2 2XL/3XL ✓,PPE
MCT-SMØREMIDDEL 2-00464000,Consumables
MCT-UTFYLL.PAKKBIT 12X10/0 LYC 3-00400100,Cables
"MCT-UTFYLL.PAKKBIT 20/0 LYCR, 3-00400200",Cables
MCT-UTFYLL.PAKKBIT 30/0 LYCR. 3-00400300,Cables
MCT-UTFYLL.PAKKBIT 40/0 LYCR. 3 00400400,Cables
MCT-UTFYLL.PAKKBIT 60/0 LYCR. 3- 00400600,Cables
MCT-PAKKBIT 20/10 LYCRON 3-00402100 ,Electrical Components
MCT-PAKKBIT 20/11 LYCRON 3-00402110,Cables
MCT-PAKKBIT 30/12 LYCRON 3-00403120,Cables
MCT-PAKKBIT 30/15 LYCRON 3-00403150,Cables
MCT-PAKKBIT 30/16 LYCRON 3-00403160,Cables
MCT-PAKKBIT 30/20 LYCRON 3-00403200,Cables
MCT-PAKKBIT 30/21 LYCRON 3-00403210 ,Cables
MCT-PAKKBIT 40/22 LYCRON 3-00404220,Cables
MCT-PAKKBIT 40/24 LYCRON 3-00404240,Cables
MCT-PAKKBIT 40/26 LYCRON 3-00404260,Cables
MCT-PAKKBIT 40/28 LYCRON 3-00404280,Cables
MCT-PAKKBIT 40/30 LYCRON 3-00404300,Cables
MCT-PAKKBIT 40/32 LYCRON 3-00404320,Cables
"MCT-PTG120 RUSTFRI, ATEX, m/13mm bolt",Consumables
"MCT-STAGPLATE ATEX RUSTF.LYCR, ZONE 1 & 2, 2A00461172",Electrical Components
MCT-EMP UTF.PAKKB E 12X10/0 LY 3-00430100,Consumables
MCT-EMP UTF.PAKKB.E 20/0 LYCR. 3-0043020,Consumables
MCT-EMP UTF.PAKKB.E 30/0 LYCR. 3-0043030,Consumables
MCT-EMP UTF.PAKKB.E 40/0 LYCR. 3-0043040,Consumables
MCT-EMP UTF.PAKKB.E 60/0 LYCR. 3-0043060,Consumables
MCT-EMP PAKKBIT E 30/12 LYCRON 3-00433120,Consumables
MCT-EMP PAKKBIT E 30/15 LYCRON 3-00433150,Consumables
MCT-EMP PAKKBIT E 30/17 LYCRON 3-00433170,Consumables
MCT-EMP PAKKBIT E 40/22 LYCRON 3-00434220,Consumables
MCT-EMP PAKKBIT E 40/24 LYCRON 3-00434240,Consumables
MCT-EMP PAKKBIT E 40/26 LYCRON 3-00434260,Consumables
MCT-EMP PAKKBIT E 60/32 LYCRON 3-00436320,Consumables
MCT-EMP PAKKBIT E 60/34 LYCRON 3-00436340,Consumables
GROUNDING LINE. W/ 2 CLIPS,Electrical Components
Black Chest Sticker,PPE
Black Back Sticker,PPE
"""Cap 3/4""""OD""",Electrical Components
"""Blanking Cap 3/4"""" OD""",Pipes Shrinks Clamps
"""Plug 3/4""""OD """,Electrical Components
"Male Connector, 3/4""OD x  3/4""NPT M ",Electrical Components
"""Male Connector, 3/4""""OD x  3/4""""NPT M """,Electrical Components
Connector Male 3/4'' OD x  3/4''NPT Male,Electrical Components
"Reducing Union 3/4'' OD x 1/2""  OD ",Electrical Components
"""Union, 3/4""""OD """,Electrical Components
"""Union 3/4""""OD """,Electrical Components
"Connector 3/4""OD x 1-1/16-12  JIC M ",Electrical Components
Mekano CA-55-400 SS,Electrical Components
"Strips hvit L 100mm B 2,5mm ❌",Consumables
SPB SB-FoS/Mekano-50 PT SS,Electrical Components
ETIN SB-FoS-Z-50x56 PT SS,Electrical Components
"Strips innvendige riller sporingsbar, 100.0x2.5mm 100 UNI ✓",Consumables
OER250 RK-600-1990 AU SS,Cables
OER250 RK-900-1990 AU SS,Cables
OER250 RK-1200-1990 AU SS,Cables
EQ-UN-Z-300-M6/10 SS,Cables
SPBE20 SA-RI-FX SS ,Electrical Components
TAG 12 185-30 SS,Electrical Components
ETIN SB-UNO-Z-D-102-B SS,Cables
SP-LF-150 SS,Electrical Components
OE RU-LW-BO-150-1.5 SS ,Electrical Components
OE RU-LW-BO-300-1.5 SS,Electrical Components
OE RU-LW-BO-450-1.5 SS,Electrical Components
OE RU-LW-BO-600-1.5 SS ,Electrical Components
OE RU-LW-BO-900-1.5 SS,Electrical Components
TAG 14 120-56-T SS,Electrical Components
"""ETIN-S TC-ME25/IM1""""-WH SS/PA""",Cables
ETIN-S AD-ME20-WH PA,Cables
ETIN-S TB-SET-LV1-M6x61 A4,Consumables
Mekano 100-2T ST-BO-C-NP SS,Cables
Mekano 50-2T ST-BO-125 SS,Cables
